id,pack,category,placement,profile,wave,method,anchor,subject,acceptance
state-blank,shared,state,inline-help,empty,P0,generate,,Open empty folio with one inviting frame,Welcoming before first result; no implicit task requirement.
state-no-match,shared,state,inline-help,empty,P2,generate,,Two offset search frames and a quiet gap,No-results state without blaming the user.
state-loading,shared,state,inline-help,empty,P2,generate,,Three static frame silhouettes at varying opacity,No visual percentage or fake progress.
state-internet-absent,shared,state,inline-help,empty,P2,generate,,Local desk connected to its own lamp; distant signal faint,Local capability remains visually intact.
state-api-unavailable,shared,state,inline-help,empty,P2,generate,,An intact workbench beside a disconnected small link,Draft preservation is emphasized without claiming it was saved.
state-backend-missing,shared,state,inline-help,empty,P0,generate,,Empty equipment bay with an unfilled rectangular slot,Not a generic internet-off illustration.
state-model-missing,shared,state,inline-help,empty,P2,generate,,Open model shelf with one clean empty slot,No implied automatic download.
state-adapter-missing,shared,state,inline-help,empty,P2,generate,,Core frame with an empty side guide socket,Distinct from model absence.
state-source-required,shared,state,inline-help,empty,P0,generate,,Empty picture frame with a small corner bracket,Label and upload affordance are separate HTML.
state-media-failed,shared,state,inline-help,empty,P2,generate,,Quiet blank window overlooking the same desk,Decorative failure must not look like a job failure.
state-uncertain,shared,state,inline-help,empty,P0,generate,,A receipt visible beside a paused neutral frame,"No retry arrow, success badge or destructive imagery."
state-conflict,shared,state,inline-help,empty,P0,generate,,Two equal folio pages held apart for comparison,Neither version is visually declared the correct one.
state-complete,shared,state,inline-help,empty,P2,generate,,Completed frame resting on a shelf without stars,Completion is separate from artistic acceptance.
state-failure,shared,state,inline-help,empty,P2,generate,,A frame and a readable retained receipt shape,"Recoverable, calm and nonpunitive; no dramatic red catastrophe."
reference-identity,shared,reference,source-role-example,reference,P1,generate,,Original adult explorer portrait with clear face and hair silhouette,Record canon features; not a real person or franchise.
reference-pose,shared,reference,source-role-example,reference,P1,generate,,Original adult mannequin performing a clear asymmetrical leaning pose,Hands and feet remain fully visible; no claim of skeleton accuracy.
reference-style,shared,reference,source-role-example,reference,P1,generate,,Character-free ink city study with confident line texture,Style is separated from identity.
reference-outfit,shared,reference,source-role-example,reference,P1,generate,,Original adult-sized coat and accessories on a neutral dress form,Whole outfit visible; no lettering or brand marks.
reference-composition,shared,reference,source-role-example,reference,P1,generate,,Three simple scene masses with depth and camera framing,Readable layout without identity distractions.
reference-lighting,shared,reference,source-role-example,reference,P1,generate,,Neutral plaster bust under a single directional light,Light direction is clear; surface/identity neutral.
reference-background,shared,reference,source-role-example,reference,P1,generate,,Empty station platform with an uncluttered foreground,"Environment only, no hidden subject to transfer."
reference-mask,shared,reference,source-role-example,foundation,P1,vector,,Editable vector target region around a neutral shape,"Functional overlay built as vector, not a pseudo-mask from generated pixels."
foundation-icons,shared,foundation,design-system,foundation,P0,vector,,"24px line-icon family for tasks, navigation and operations",Every semantic meaning has a label and monochrome variant.
foundation-tokens,shared,foundation,design-system,foundation,P0,code,,"Six palettes plus contrast, space, type and elevation tokens",Theme changes cannot alter layout or semantic status colors.
foundation-buttons,shared,foundation,design-system,foundation,P0,code,,"Primary, secondary, danger and pending action states","Real buttons; keyboard focus, disabled explanation and touch sizing."
foundation-fields,shared,foundation,design-system,foundation,P0,code,,"Text, number, search and select controls","Labels, validation and IME behavior are preserved."
foundation-cards,shared,foundation,design-system,foundation,P0,code,,"Recipe, source, output and contextual help surfaces","One source of component geometry, no baked visual labels."
foundation-tabs,shared,foundation,design-system,foundation,P0,code,,Task and prompt section tabs with responsive overflow,Correct focus/selection semantics; no tiny scrolling chip maze.
foundation-badges,shared,foundation,design-system,foundation,P0,code,,"Generated, imported, checked, staged, missing and historical badge grammar",Checked is not accepted; colors are not the only distinction.
foundation-dialogs,shared,foundation,design-system,foundation,P0,code,,"Recipe change, source selection and difference-review containers",One focus owner and correct nested success/cancel return.
foundation-patterns,shared,foundation,design-system,foundation,P0,code,,"Optional subtle paper, grain and CRT-edge texture tokens",No scanlines over text and no high-frequency flashing.
foundation-skeletons,shared,foundation,design-system,foundation,P0,code,,Reserved-size loading blocks and unknown-state placeholders,Unknown is never styled as ready or complete.
guide-neutral,shared,guide,optional-coach,guide,P3,generate,,Closed folio with a small detached star,"Same silhouette, palette and scale; assistance remains fully understandable with the mascot hidden."
guide-welcome,shared,guide,optional-coach,guide,P3,edit,guide-neutral,Open folio offering one blank page,"Same silhouette, palette and scale; assistance remains fully understandable with the mascot hidden."
guide-point,shared,guide,optional-coach,guide,P3,edit,guide-neutral,Folio corner indicating an adjacent real control,"Same silhouette, palette and scale; assistance remains fully understandable with the mascot hidden."
guide-think,shared,guide,optional-coach,guide,P3,edit,guide-neutral,Folio with two separated small orbiting-shape marks,"Same silhouette, palette and scale; assistance remains fully understandable with the mascot hidden."
guide-question,shared,guide,optional-coach,guide,P3,edit,guide-neutral,Tilted folio with an empty speech-bubble shape,"Same silhouette, palette and scale; assistance remains fully understandable with the mascot hidden."
guide-review,shared,guide,optional-coach,guide,P3,edit,guide-neutral,Folio holding a separate inspection frame,"Same silhouette, palette and scale; assistance remains fully understandable with the mascot hidden."
guide-rest,shared,guide,optional-coach,guide,P3,edit,guide-neutral,Folio closed beside a resting star,"Same silhouette, palette and scale; assistance remains fully understandable with the mascot hidden."
guide-celebrate,shared,guide,optional-coach,guide,P3,edit,guide-neutral,"Folio with one small outward sparkle, not confetti","Same silhouette, palette and scale; assistance remains fully understandable with the mascot hidden."
tutorial-first-run,shared,tutorial,help-drawer,tutorial,P2,capture,,First intentional creation from a qualified recipe,Record exact application commit and public fixture; show actual clicks and captions; never fabricate UI operation.
tutorial-reference,shared,tutorial,help-drawer,tutorial,P2,capture,,Attach a source and inspect its role/staging state,Record exact application commit and public fixture; show actual clicks and captions; never fabricate UI operation.
tutorial-pose,shared,tutorial,help-drawer,tutorial,P2,capture,,Prepare an actual character-plus-pose workflow,Record exact application commit and public fixture; show actual clicks and captions; never fabricate UI operation.
tutorial-recipe-change,shared,tutorial,help-drawer,tutorial,P2,capture,,Cancel then accept a reviewed recipe replacement,Record exact application commit and public fixture; show actual clicks and captions; never fabricate UI operation.
tutorial-adapters,shared,tutorial,help-drawer,tutorial,P2,capture,,Inspect the authored adapter stack and one deliberate adjustment,Record exact application commit and public fixture; show actual clicks and captions; never fabricate UI operation.
tutorial-compare,shared,tutorial,help-drawer,tutorial,P2,capture,,Plan a bounded settings comparison and inspect its budget,Record exact application commit and public fixture; show actual clicks and captions; never fabricate UI operation.
tutorial-continue,shared,tutorial,help-drawer,tutorial,P2,capture,,Open an output as a copy without losing the active draft,Record exact application commit and public fixture; show actual clicks and captions; never fabricate UI operation.
tutorial-recover,shared,tutorial,help-drawer,tutorial,P2,capture,,Inspect a deliberately simulated uncertain request without replay,Record exact application commit and public fixture; show actual clicks and captions; never fabricate UI operation.
tutorial-workflow,shared,tutorial,help-drawer,tutorial,P2,capture,,Inspect a real invalid graph connection and its remedy,Record exact application commit and public fixture; show actual clicks and captions; never fabricate UI operation.
tutorial-export,shared,tutorial,help-drawer,tutorial,P2,capture,,Preview an actual export destination and collision handling,Record exact application commit and public fixture; show actual clicks and captions; never fabricate UI operation.
promo-hero,retro-anime,promotion,public-showcase,promo,P3,derive,retro-anime-master,Night Shift world surrounding a truthful product window,"No fictional functionality, performance or model claims; keep text editable and examples attributable."
promo-offline,shared,promotion,public-showcase,promo,P3,vector,,Same original desk with local assets present and no cloud imagery,"No fictional functionality, performance or model claims; keep text editable and examples attributable."
promo-workflow,shared,promotion,public-showcase,promo,P3,vector,,Three truthful workflow chapters in a typographic composition,"No fictional functionality, performance or model claims; keep text editable and examples attributable."
promo-skins,shared,promotion,public-showcase,promo,P3,vector,,Equal-sized previews of the approved optional skins,"No fictional functionality, performance or model claims; keep text editable and examples attributable."
promo-social,retro-anime,promotion,public-showcase,promo,P3,derive,retro-anime-master,A restrained title-safe studio announcement card,"No fictional functionality, performance or model claims; keep text editable and examples attributable."
promo-release,shared,promotion,public-showcase,promo,P3,vector,,Release-note banner with a real build identifier typeset separately,"No fictional functionality, performance or model claims; keep text editable and examples attributable."
promo-readme,shared,promotion,public-showcase,promo,P3,vector,,Small original brand mark and calm documentation header,"No fictional functionality, performance or model claims; keep text editable and examples attributable."
promo-showcase,shared,promotion,public-showcase,promo,P3,vector,,A curated strip of approved example outputs with visible attribution area,"No fictional functionality, performance or model claims; keep text editable and examples attributable."
audio-confirm,shared,audio,opt-in-audio,audio,P3,audio,,A short soft wooden tap for deliberate UI confirmation,Original or source-reviewed; silence is the default; no startling peak or mandatory semantic information.
audio-complete,shared,audio,opt-in-audio,audio,P3,audio,,A low-key two-note original completion cue,Original or source-reviewed; silence is the default; no startling peak or mandatory semantic information.
audio-attention,shared,audio,opt-in-audio,audio,P3,audio,,A restrained soft tone for requested attention,Original or source-reviewed; silence is the default; no startling peak or mandatory semantic information.
audio-navigate,shared,audio,opt-in-audio,audio,P3,audio,,A very light dry tick for optional navigation feedback,Original or source-reviewed; silence is the default; no startling peak or mandatory semantic information.
audio-room,shared,audio,opt-in-audio,audio,P3,audio,,A quiet original room-tone bed without recognizable music,Original or source-reviewed; silence is the default; no startling peak or mandatory semantic information.
audio-rain,shared,audio,opt-in-audio,audio,P3,audio,,A soft window-rain ambience without speech or identifiable location,Original or source-reviewed; silence is the default; no startling peak or mandatory semantic information.
motion-disclose,shared,motion,presentation-policy,motion,P1,code,,Panel disclosure preserving scroll anchor,Document start/stop/unmount and reduced-motion behavior; zero domain commands and stable hit targets.
motion-crossfade,shared,motion,presentation-policy,motion,P1,code,,Poster-to-poster environment transition,Document start/stop/unmount and reduced-motion behavior; zero domain commands and stable hit targets.
motion-parallax,shared,motion,presentation-policy,motion,P1,code,,Three-layer small-displacement pointer parallax,Document start/stop/unmount and reduced-motion behavior; zero domain commands and stable hit targets.
motion-focus,shared,motion,presentation-policy,motion,P1,code,,Nonmoving keyboard focus transition,Document start/stop/unmount and reduced-motion behavior; zero domain commands and stable hit targets.
motion-load,shared,motion,presentation-policy,motion,P1,code,,Reserved-size staged media loading,Document start/stop/unmount and reduced-motion behavior; zero domain commands and stable hit targets.
motion-pause,shared,motion,presentation-policy,motion,P1,code,,Immediate motion pause and clean static fallback,Document start/stop/unmount and reduced-motion behavior; zero domain commands and stable hit targets.
sample-character-canon,shared,sample,learning-library,sample,P2,generate,reference-identity,"Original adult explorer canon with portrait, full body and silhouette","Shared anchors and actual source identity retained; label illustrative examples, not measured route capability."
sample-pose-pair,shared,sample,learning-library,sample,P2,generate,reference-pose,Identity source plus deliberately different full-body geometric reference,"Shared anchors and actual source identity retained; label illustrative examples, not measured route capability."
sample-outfit-study,shared,sample,learning-library,sample,P2,generate,reference-identity,Same canon wearing two original adult outfits with clear differences,"Shared anchors and actual source identity retained; label illustrative examples, not measured route capability."
sample-lighting-pair,shared,sample,learning-library,sample,P2,generate,reference-lighting,Same scene under two directionally distinct lighting setups,"Shared anchors and actual source identity retained; label illustrative examples, not measured route capability."
sample-composition-pair,shared,sample,learning-library,sample,P2,generate,reference-composition,Same simple subject in two camera framings,"Shared anchors and actual source identity retained; label illustrative examples, not measured route capability."
sample-repair-pair,shared,sample,learning-library,sample,P2,generate,workflow-repair,A public synthetic defect region and an explicitly labelled illustrative repair,"Shared anchors and actual source identity retained; label illustrative examples, not measured route capability."
sample-sequence-strip,shared,sample,learning-library,sample,P2,generate,reference-identity,Four controlled storyboard stills with stable environment and subject,"Shared anchors and actual source identity retained; label illustrative examples, not measured route capability."
sample-material-board,shared,sample,learning-library,sample,P2,source,,"Wood, paper, brushed metal and neutral fabric source studies","Shared anchors and actual source identity retained; label illustrative examples, not measured route capability."
